"id","inv","desc","status","created_at","updated_at"
"1175","BGD1.INV.25.729054","Tidak ada invoice weighing detailnya","3","11/9/2025 09:00:39","11/9/2025 09:00:39"
"1176","BGD1.INV.24.638364","Tidak ada invoice weighing detailnya","3","11/9/2025 09:30:20","11/9/2025 09:30:20"
"1177","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","11/9/2025 10:00:09","11/9/2025 10:00:09"
"1178","BGD1.INV.24.662033","Tidak ada data customer","2","11/9/2025 10:30:04","11/9/2025 10:30:04"
"1179","BGD1.INV.24.662036","Tidak ada data customer","2","11/9/2025 10:30:04","11/9/2025 10:30:04"
"1180","BGD1.INV.24.662047","Tidak ada data customer","2","11/9/2025 10:30:04","11/9/2025 10:30:04"
"1181","BGD1.INV.24.662048","Tidak ada data customer","2","11/9/2025 10:30:04","11/9/2025 10:30:04"
"1182","BGD1.INV.24.662049","Tidak ada data customer","2","11/9/2025 10:30:04","11/9/2025 10:30:04"
"1183","BGD1.INV.24.662050","Tidak ada data customer","2","11/9/2025 10:30:04","11/9/2025 10:30:04"
"1184","BGD1.INV.24.662051","Tidak ada data customer","2","11/9/2025 10:30:04","11/9/2025 10:30:04"
"1185","BGD1.INV.24.662052","Tidak ada data customer","2","11/9/2025 10:30:04","11/9/2025 10:30:04"
"1186","BGD1.INV.24.662053","Tidak ada data customer","2","11/9/2025 10:30:04","11/9/2025 10:30:04"
"1187","BGD1.INV.24.662062","Tidak ada data customer","2","11/9/2025 10:30:04","11/9/2025 10:30:04"
"1188","BGD1.INV.24.662071","Tidak ada data customer","2","11/9/2025 10:30:04","11/9/2025 10:30:04"
"1189","BGD1.INV.24.662072","Tidak ada data customer","2","11/9/2025 10:30:04","11/9/2025 10:30:04"
"1190","BGD1.INV.24.662073","Tidak ada data customer","2","11/9/2025 10:30:04","11/9/2025 10:30:04"
"1191","BGD1.INV.24.662080","Tidak ada data customer","2","11/9/2025 10:30:04","11/9/2025 10:30:04"
"1192","BGD1.INV.24.638364","Tidak ada invoice weighing detailnya","3","11/9/2025 10:30:27","11/9/2025 10:30:27"
"1193","BGD1.INV.25.735260","Tidak ada invoice weighing detailnya","3","11/9/2025 11:00:05","11/9/2025 11:00:05"
"1194","BGD1.INV.24.638364","Tidak ada invoice weighing detailnya","3","11/9/2025 11:30:08","11/9/2025 11:30:08"
"1195","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","11/9/2025 12:00:07","11/9/2025 12:00:07"
"1196","BGD1.INV.24.657281","Tidak ada invoice weighing detailnya","3","11/9/2025 12:30:09","11/9/2025 12:30:09"
"1197","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","11/9/2025 13:00:10","11/9/2025 13:00:10"
"1198","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","11/9/2025 13:30:42","11/9/2025 13:30:42"
"1199","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","11/9/2025 14:01:18","11/9/2025 14:01:18"
"1200","BGD1.INV.24.662033","Tidak ada data customer","2","11/9/2025 14:01:19","11/9/2025 14:01:19"
"1201","BGD1.INV.25.735260","Tidak ada invoice weighing detailnya","3","11/9/2025 14:30:22","11/9/2025 14:30:22"
"1202","BGD1.INV.24.662036","Tidak ada data customer","2","11/9/2025 14:32:15","11/9/2025 14:32:15"
"1203","BGD1.INV.24.662047","Tidak ada data customer","2","11/9/2025 15:01:19","11/9/2025 15:01:19"
"1204","BGD1.INV.24.662048","Tidak ada data customer","2","11/9/2025 15:31:05","11/9/2025 15:31:05"
"1205","BGD1.INV.24.662049","Tidak ada data customer","2","11/9/2025 16:00:32","11/9/2025 16:00:32"
