"id","inv","desc","status","created_at","updated_at"
"4919","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","30/10/2025 05:01:13","30/10/2025 05:01:13"
"4920","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","30/10/2025 05:30:29","30/10/2025 05:30:29"
"4921","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","30/10/2025 06:00:21","30/10/2025 06:00:21"
"4922","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","30/10/2025 06:00:23","30/10/2025 06:00:23"
"4923","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","30/10/2025 06:00:25","30/10/2025 06:00:25"
"4924","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","30/10/2025 06:01:04","30/10/2025 06:01:04"
"4925","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","30/10/2025 06:30:25","30/10/2025 06:30:25"
"4927","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","30/10/2025 06:30:41","30/10/2025 06:30:41"
"4928","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","30/10/2025 07:00:07","30/10/2025 07:00:07"
"4929","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","30/10/2025 07:30:29","30/10/2025 07:30:29"
"4930","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","30/10/2025 08:00:30","30/10/2025 08:00:30"
"4931","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","30/10/2025 08:30:35","30/10/2025 08:30:35"
"4933","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","30/10/2025 09:30:30","30/10/2025 09:30:30"
"4934","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","30/10/2025 10:00:12","30/10/2025 10:00:12"
"4949","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","30/10/2025 10:30:33","30/10/2025 10:30:33"
"4950","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","30/10/2025 11:00:19","30/10/2025 11:00:19"
"4951","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","30/10/2025 11:30:10","30/10/2025 11:30:10"
"4953","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","30/10/2025 12:30:12","30/10/2025 12:30:12"
"4954","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","30/10/2025 13:00:13","30/10/2025 13:00:13"
"4955","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","30/10/2025 13:31:05","30/10/2025 13:31:05"
"4956","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","30/10/2025 14:01:23","30/10/2025 14:01:23"
"4957","BGD1.INV.25.809484","Tidak ada invoice weighing detailnya","3","30/10/2025 14:01:24","30/10/2025 14:01:24"
"4961","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","30/10/2025 15:31:09","30/10/2025 15:31:09"
"4962","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","30/10/2025 16:00:35","30/10/2025 16:00:35"
"4964","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","30/10/2025 16:33:26","30/10/2025 16:33:26"
"4965","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","30/10/2025 17:00:06","30/10/2025 17:00:06"
"4966","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","30/10/2025 17:30:07","30/10/2025 17:30:07"
"4967","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","30/10/2025 18:00:06","30/10/2025 18:00:06"
"4968","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","30/10/2025 18:30:06","30/10/2025 18:30:06"
"4969","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","30/10/2025 19:00:05","30/10/2025 19:00:05"
"4971","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","30/10/2025 20:00:05","30/10/2025 20:00:05"
"4972","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","30/10/2025 20:30:06","30/10/2025 20:30:06"
"4973","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","30/10/2025 21:00:06","30/10/2025 21:00:06"
"4974","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","30/10/2025 21:30:06","30/10/2025 21:30:06"
"4975","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","30/10/2025 22:00:11","30/10/2025 22:00:11"
"4977","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","30/10/2025 22:30:06","30/10/2025 22:30:06"
"4978","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","30/10/2025 23:00:07","30/10/2025 23:00:07"
"4980","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","30/10/2025 23:34:16","30/10/2025 23:34:16"
"4992","BGD1.INV.25.809484","Tidak ada invoice weighing detailnya","3","31/10/2025 04:30:34","31/10/2025 04:30:34"
"4998","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","31/10/2025 06:00:21","31/10/2025 06:00:21"
"4999","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","31/10/2025 06:00:22","31/10/2025 06:00:22"
"5000","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","31/10/2025 06:00:25","31/10/2025 06:00:25"
"5002","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","31/10/2025 06:30:23","31/10/2025 06:30:23"
"5005","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","31/10/2025 07:00:06","31/10/2025 07:00:06"
"5006","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","31/10/2025 07:30:29","31/10/2025 07:30:29"
"5007","BGD1.INV.25.809484","Tidak ada invoice weighing detailnya","3","31/10/2025 08:00:30","31/10/2025 08:00:30"
"5008","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","31/10/2025 08:30:35","31/10/2025 08:30:35"
"5009","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","31/10/2025 09:00:42","31/10/2025 09:00:42"
"5010","BGD1.INV.25.809484","Tidak ada invoice weighing detailnya","3","31/10/2025 09:30:22","31/10/2025 09:30:22"
"5011","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","31/10/2025 10:00:12","31/10/2025 10:00:12"
"5026","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","31/10/2025 10:30:32","31/10/2025 10:30:32"
"5027","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","31/10/2025 11:00:19","31/10/2025 11:00:19"
"5029","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","31/10/2025 12:00:08","31/10/2025 12:00:08"
"5030","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","31/10/2025 12:30:12","31/10/2025 12:30:12"
"5031","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","31/10/2025 13:00:14","31/10/2025 13:00:14"
"5032","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","31/10/2025 13:31:05","31/10/2025 13:31:05"
"5033","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","31/10/2025 14:01:20","31/10/2025 14:01:20"
"5036","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","31/10/2025 14:32:25","31/10/2025 14:32:25"
"5037","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","31/10/2025 15:01:22","31/10/2025 15:01:22"
"5038","BGD1.INV.25.809484","Tidak ada invoice weighing detailnya","3","31/10/2025 15:31:07","31/10/2025 15:31:07"
"5039","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","31/10/2025 16:00:35","31/10/2025 16:00:35"
"5041","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","31/10/2025 16:33:25","31/10/2025 16:33:25"
"5042","BGD1.INV.25.809484","Tidak ada invoice weighing detailnya","3","31/10/2025 17:00:06","31/10/2025 17:00:06"
"5043","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","31/10/2025 17:30:06","31/10/2025 17:30:06"
"5044","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","31/10/2025 18:00:07","31/10/2025 18:00:07"
"5045","BGD1.INV.25.809484","Tidak ada invoice weighing detailnya","3","31/10/2025 18:30:06","31/10/2025 18:30:06"
"5046","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","31/10/2025 19:00:06","31/10/2025 19:00:06"
"5047","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","31/10/2025 19:30:06","31/10/2025 19:30:06"
"5048","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","31/10/2025 20:00:05","31/10/2025 20:00:05"
"5050","BGD1.INV.25.809484","Tidak ada invoice weighing detailnya","3","31/10/2025 21:00:06","31/10/2025 21:00:06"
"5051","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","31/10/2025 21:30:06","31/10/2025 21:30:06"
"5054","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","31/10/2025 22:30:07","31/10/2025 22:30:07"
"5055","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","31/10/2025 23:00:07","31/10/2025 23:00:07"
"5058","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","1/11/2025 00:03:10","1/11/2025 00:03:10"
"5059","BGD1.INV.25.729054","Tidak ada invoice weighing detailnya","3","1/11/2025 00:30:19","1/11/2025 00:30:19"
"5060","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","1/11/2025 00:30:52","1/11/2025 00:30:52"
"5061","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","1/11/2025 01:00:46","1/11/2025 01:00:46"
"5062","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","1/11/2025 01:30:32","1/11/2025 01:30:32"
"5063","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","1/11/2025 02:01:04","1/11/2025 02:01:04"
"5064","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","1/11/2025 02:30:55","1/11/2025 02:30:55"
"5065","BGD1.INV.24.657281","Tidak ada invoice weighing detailnya","3","1/11/2025 03:00:06","1/11/2025 03:00:06"
"5066","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","1/11/2025 03:00:40","1/11/2025 03:00:40"
"5067","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","1/11/2025 03:31:49","1/11/2025 03:31:49"
"5068","BGD1.INV.25.809484","Tidak ada invoice weighing detailnya","3","1/11/2025 04:01:17","1/11/2025 04:01:17"
"5069","BGD1.INV.25.809484","Tidak ada invoice weighing detailnya","3","1/11/2025 04:30:36","1/11/2025 04:30:36"
"5070","BGD1.INV.21.999999","Tidak ada invoice weighing detailnya","3","1/11/2025 04:31:07","1/11/2025 04:31:07"
"5071","BGD1.INV.24.645501","Tidak ada invoice weighing detailnya","3","1/11/2025 04:31:07","1/11/2025 04:31:07"
"5072","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","1/11/2025 04:31:07","1/11/2025 04:31:07"
"5073","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","1/11/2025 05:00:50","1/11/2025 05:00:50"
"5074","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","1/11/2025 05:30:23","1/11/2025 05:30:23"
"5075","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","1/11/2025 06:00:48","1/11/2025 06:00:48"
"5076","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","1/11/2025 06:00:49","1/11/2025 06:00:49"
"5077","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","1/11/2025 06:00:52","1/11/2025 06:00:52"
"5078","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","1/11/2025 06:01:31","1/11/2025 06:01:31"
"5079","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","1/11/2025 06:30:50","1/11/2025 06:30:50"
"5080","BGD1.INV.24.638364","Tidak ada invoice weighing detailnya","3","1/11/2025 06:31:05","1/11/2025 06:31:05"
"5081","BGD1.INV.25.805665","Tidak ada invoice weighing detailnya","3","1/11/2025 06:31:05","1/11/2025 06:31:05"
"5082","BGD1.INV.25.805688","Tidak ada invoice weighing detailnya","3","1/11/2025 07:00:20","1/11/2025 07:00:20"
"5083","BGD1.INV.25.809484","Tidak ada invoice weighing detailnya","3","1/11/2025 07:30:30","1/11/2025 07:30:30"
"5084","BGD1.INV.25.805709","Tidak ada invoice weighing detailnya","3","1/11/2025 08:00:30","1/11/2025 08:00:30"
"5085","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","1/11/2025 08:30:35","1/11/2025 08:30:35"
"5086","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","1/11/2025 09:00:42","1/11/2025 09:00:42"
"5087","BGD1.INV.25.797441","Tidak ada invoice weighing detailnya","3","1/11/2025 09:30:22","1/11/2025 09:30:22"
"5088","BGD1.INV.25.805652","Tidak ada invoice weighing detailnya","3","1/11/2025 10:00:11","1/11/2025 10:00:11"
"5089","BGD1.INV.24.662033","Tidak ada data customer","2","1/11/2025 10:30:06","1/11/2025 10:30:06"
"5090","BGD1.INV.24.662036","Tidak ada data customer","2","1/11/2025 10:30:06","1/11/2025 10:30:06"
